Logger:         	MadelineProto
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
Connection, 5627920568:     	Connecting to DC -2.5
Session, 5627920568:        	Resetting session in DC -2.5...
Connection, 5627920568:     	Connecting to DC -4.5
Session, 5627920568:        	Resetting session in DC -4.5...
Connection, 5627920568:     	Connected to DC -2.5!
Connection, 5627920568:     	Connecting to DC -2.6
Session, 5627920568:        	Resetting session in DC -2.6...
Connection, 5627920568:     	Connected to DC -4.5!
Connection, 5627920568:     	Connecting to DC -4.6
Session, 5627920568:        	Resetting session in DC -4.6...
Connection, 5627920568:     	Connected to DC -2.6!
Connection, 5627920568:     	Connected to DC -4.6!
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
PingLoop, 5627920568:       	Ping DC 3.0
PingLoop, 5627920568:       	Ping DC 4.0
PingLoop, 5627920568:       	Ping DC 5.0
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 5, 0 left
MTProto, 5627920568:        	Accepted IPC client connection!
DialogHandler, 5627920568:  	Getting dialogs...
Session, 5627920568:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
MTProto, 5627920568:        	Accepted IPC client connection!
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
DialogHandler, 5627920568:  	Getting dialogs...
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Connection, 5627920568:     	Connecting to DC -2.7
Session, 5627920568:        	Resetting session in DC -2.7...
Connection, 5627920568:     	Connecting to DC -4.7
Session, 5627920568:        	Resetting session in DC -4.7...
Connection, 5627920568:     	Connected to DC -2.7!
Connection, 5627920568:     	Connecting to DC -2.8
Session, 5627920568:        	Resetting session in DC -2.8...
Connection, 5627920568:     	Connected to DC -4.7!
Connection, 5627920568:     	Connecting to DC -4.8
Session, 5627920568:        	Resetting session in DC -4.8...
Connection, 5627920568:     	Connected to DC -2.8!
Connection, 5627920568:     	Connected to DC -4.8!
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
